"skill_id","skills","job_count","avg_skill_salary"
0,"sql","398","97237"
181,"excel","256","87288"
1,"python","236","101397"
182,"tableau","230","99288"
5,"r","148","100499"
183,"power bi","110","97431"
7,"sas","63","98902"
186,"sas","63","98902"
196,"powerpoint","58","88701"
185,"looker","49","103795"
188,"word","48","82576"
80,"snowflake","37","112948"
79,"oracle","37","104534"
61,"sql server","35","97786"
74,"azure","34","111225"
76,"aws","32","108317"
192,"sheets","32","86088"
215,"flow","28","97200"
8,"go","27","115320"
199,"spss","24","92170"
22,"vba","24","88783"
97,"hadoop","22","113193"
233,"jira","20","104918"
9,"javascript","20","97587"
195,"sharepoint","18","81634"
4,"java","17","106906"
201,"alteryx","17","94145"
78,"redshift","16","99936"
197,"ssrs","14","99171"
77,"bigquery","13","109654"
2,"nosql","13","101414"
187,"qlik","13","99631"
92,"spark","13","99077"
198,"outlook","13","90077"
194,"ssis","12","106683"
234,"confluence","11","114210"
13,"c++","11","98958"
75,"databricks","10","141907"
184,"dax","10","104500"
204,"visio","10","95842"
14,"c#","10","86540"
93,"pandas","9","151821"
26,"c","9","98938"
16,"t-sql","9","96365"
56,"mysql","9","95224"
189,"sap","8","102920"
10,"html","8","86438"
12,"bash","6","96558"
202,"ms access","6","85519"
190,"spreadsheet","6","81892"
170,"windows","6","74124"
94,"numpy","5","143513"
219,"atlassian","5","131162"
96,"airflow","5","126103"
3,"scala","5","124903"
23,"crystal","5","120100"
210,"git","5","112000"
15,"matlab","5","94200"
216,"github","5","91580"
235,"planner","5","76800"
108,"matplotlib","5","76301"
236,"smartsheet","5","63000"
57,"postgresql","4","123879"
67,"db2","4","114072"
137,"phoenix","4","97230"
20,"powershell","4","95275"
200,"cognos","4","93264"
249,"microsoft teams","4","87854"
226,"terminal","4","80625"
141,"express","4","80000"
112,"plotly","4","78750"
220,"gitlab","3","154500"
102,"jupyter","3","152777"
211,"jenkins","3","125436"
81,"gcp","3","122500"
6,"shell","3","108200"
168,"unix","3","107667"
70,"sqlite","3","89167"
120,"seaborn","3","77500"
18,"mongodb","3","66020"
62,"mongodb","3","66020"
95,"pyspark","2","208172"
218,"bitbucket","2","189155"
35,"swift","2","153750"
169,"linux","2","136508"
213,"kubernetes","2","132500"
106,"scikit-learn","2","125781"
191,"microstrategy","2","121619"
177,"arch","2","82750"
104,"spring","2","82000"
255,"webex","2","81250"
29,"julia","2","71148"
21,"visual basic","2","62500"
144,"ruby","2","61780"
30,"ruby","2","61780"
85,"watson","1","160515"
65,"couchbase","1","160515"
206,"datarobot","1","155486"
27,"golang","1","145000"
59,"elasticsearch","1","145000"
250,"twilio","1","127000"
238,"notion","1","125000"
84,"ibm cloud","1","111500"
39,"rust","1","97500"
225,"unity","1","95500"
25,"php","1","95000"
60,"mariadb","1","95000"
45,"pascal","1","92000"
42,"vb.net","1","90000"
242,"clickup","1","90000"
221,"chef","1","85000"
145,"node.js","1","83500"
248,"zoom","1","80740"
115,"ggplot2","1","75000"
51,"erlang","1","72500"
47,"sass","1","67500"
88,"colocation","1","67500"
11,"css","1","52500"
153,"ruby on rails","1","51059"
253,"wire","1","42500"
